,Planet,Hydrogen Inventory [H oceans],Redox State,Nightside Detected,Number of observations,Surface Pressure [bar],Atmospheric Components,Transit Duration (hours),Integration Time (hours),Total Telescope Time (hours),Orbital Period (hours)
0,HD3167,H10,IW4,True,15,10.902882027016927,"SO2, H2O",1.61,75.36500000000001,172.79999999999998,23.04
1,HD3167,H20,IW4,True,15,301.8890797227862,"CO2, N2",1.61,75.36500000000001,172.79999999999998,23.04
2,K2141,H10,IW4,True,8,37.15553686102315,"SO2, H2O",0.94,20.82,26.880000000000003,6.720000000000001
3,K2141,H10,IW4,True,11,474.71853428991705,"SO2, S2",0.94,27.87,36.96,6.720000000000001
4,LHS1478,H05,IW0,True,10000,317.21236610527086,"H2O, S2",0.71,17793.25,234000.0,46.8
5,LHS1478,H05,IW4,True,10000,2693.2161974990063,"CO2, H2O",0.71,17793.25,234000.0,46.8
6,TOI1416,H10,IW0,True,30,4.9946599634028965,"H2, H2O",1.5,129.0,360.0,24.0
7,TOI1416,H10,IW4,True,49,55.97088523656926,"CO2, SO2",1.5,200.25,588.0,24.0
8,TOI1416,H20,IW0,True,35,437.01974105049806,"CO, N2",1.5,147.75,420.0,24.0
9,TOI1807,H10,IW0,True,21,153.4742926519814,"CO, N2",0.98,59.75000000000001,138.6,13.2
10,TOI1807,H20,IW0,True,21,772.4945333188908,"CO, N2",0.98,59.75000000000001,138.6,13.2
11,TOI1807,H5,IW4,True,32,13.56641297896406,"SO2, H2O",0.98,86.7,211.2,13.2
12,TOI431,H05,IW4,True,9,30.06617935472506,"SO2, H2O",1.24,33.459999999999994,52.92,11.76
13,TOI431,H05,IW4,True,12,358.22151921438234,"SO2, S2",1.24,42.76,70.56,11.76
14,TOI500,H20,IW2,True,35,20.38406192626932,"H2O, H2",0.99,94.875,231.0,13.2
15,TOI500,H20,IW4,True,36,217.25748870954104,"H2O, SO2",0.99,97.35,237.6,13.2
16,TOI561,H20,IW4,True,35,45.076656752754914,"H2O, O2",1.31,118.875,189.00000000000003,10.8
